cue,cui,nombre,sector,domicilio,ambito,lat,lon
060876100,608100825,ESCUELA DE EDUCACIÓN PRIMARIA Nº36 SANTA ROSA DE LIMA,Estatal,RUTA 178 KM. 30,Rural,-33.80126434644767,-60.83848701672609
060753000,608100613,ESCUELA DE EDUCACIÓN PRIMARIA Nº37 REPUBLICA DE ITALIA,Estatal,PARAJE GORNATI   GORNATI,Rural,-33.73955957130642,-60.485069286993294
060280000,608100839,ESCUELA DE EDUCACIÓN PRIMARIA Nº43 ALMIRANTE GUILLERMO BROWN,Estatal,RUTA 8 KM 245/244   CAMPO ROTH,Rural,-33.93143530687261,-60.77457815355833
060834600,608100841,ESCUELA DE EDUCACIÓN PRIMARIA Nº44 MAGDALENA ORTIZ BASUALDO BACÚ,Estatal,"RUTA NACIONAL Nº188 KM. 94,5   LA MAGDALENA",Rural,-34.08227976116336,-60.638556881230684
060252800,608100524,ESCUELA DE EDUCACIÓN PRIMARIA Nº49 SAN FRANCISCO DEL MONTE,Estatal,CAMINO RURAL DEL CARMEN   MAGUIRE,Rural,-33.96419445735756,-60.26257407514939
060756800,608100860,ESCUELA DE EDUCACIÓN PRIMARIA Nº54 TIERRA DEL FUEGO,Estatal,SANTA ANA E/MENENDEZ Y A.GOMEZ 380,Rural,-34.02847005324192,-60.504879821827636
060279100,608100548,ESCUELA DE EDUCACIÓN PRIMARIA Nº56 VICENTE LÓPEZ Y PLANES,Estatal,ZONA RURAL,Rural,-33.83715376073599,-60.55888321193286
060081900,608100873,ESCUELA DE EDUCACIÓN PRIMARIA Nº57 FERMIN ORTIZ BASUALDO,Estatal,RUTA 188 Y CRUCE O.BASUALDO   ORTIZ BASUALDO,Rural,-34.03141138520484,-60.65040791315443
060752900,608101244,ESCUELA DE EDUCACIÓN PRIMARIA Nº59 VIRGEN MARIA AUXILIADORA,Estatal,BASSO   FONTEZUELA,Rural,-33.91247092866762,-60.46511756678697
060279900,608100744,ESCUELA DE EDUCACIÓN PRIMARIA Nº7 PATRICIO KEARNEY,Estatal,ACCESO GASTON CALVELO 124,Rural,-33.914896195911076,-60.83067436468232
060829000,608100414,ESCUELA DE EDUCACIÓN PRIMARIA Nº9 GENERAL BARTOLOME MITRE,Estatal,SARMIENTO 689,Rural,-33.733868070745274,-60.16894813908117
060279000,608100744,ESCUELA DE EDUCACIÓN SECUNDARIA AGRARIA INSTITUTO MARIANO MORENO,Privado,ACCESO G. CALVELLO 124,Rural,-33.914896195911076,-60.83067436468232
060829200,608100632,ESCUELA DE EDUCACIÓN SECUNDARIA Nº1 BERNARDINO RIVADAVIA,Estatal,8 468,Rural,-33.75790388621438,-60.441380333736376
062003101,608100361,ESCUELA DE EDUCACIÓN SECUNDARIA Nº16 - EXTENSIÓN,Estatal,INDEPENDENCIA 53,Rural,-33.994291405046326,-60.732118047521354
060875000,608100650,ESCUELA DE EDUCACIÓN SECUNDARIA Nº3 VICTORIA OCAMPO,Estatal,PERGAMINO 670,Rural,-33.76501034656092,-60.64992252251521
061174501,608100548,ESCUELA DE EDUCACIÓN SECUNDARIA Nº6 - ANEXO Nº1,Estatal,ZONA RURAL,Rural,-33.83715376073599,-60.55888321193286
062208800,608100414,ESCUELA DE EDUCACIÓN SECUNDARIA Nº8 DR. JULIO MAIZTEGUI,Estatal,SARMIENTO 689,Rural,-33.733868070745274,-60.16894813908117
062183700,608101318,ESCUELA DE EDUCACIÓN SECUNDARIA Nº9 JUANA AZURDUY,Estatal,ALBERDI 250,Rural,-33.673074226485454,-60.4021979589268
060805700,608101030,ESCUELA DE LA FAMILIA AGRÍCOLA DR. ERNESTO NAZAR,Privado,CAMINO A LA VIOLETA KM. 4,Rural,-33.78299503943919,-60.42089566375853
060875100,608101048,INSTITUTO COMERCIAL EL SOCORRO,Privado,LORENZO MORENO 845,Rural,-33.66300008879476,-60.70680269080744
061182300,608100860,INSTITUTO COMERCIAL RANCAGUA,Privado,SANTA ANA 380,Rural,-34.02847005324192,-60.504879821827636
061182400,608100759,INSTITUTO JUAN ANCHORENA,Privado,SALTA Y AV. CORDOBA 618,Rural,-33.925412567149095,-60.38091632575468
060181100,608101237,JARDÍN DE INFANTES Nº 919 JUANA BAUTISTA MUSSO,Estatal,CAMINO VECINAL,Rural,-33.91277591827616,-60.465503012011624
060875500,608100286,JARDÍN DE INFANTES Nº903 REMEDIOS DE ESC. DE SAN MARTIN,Estatal,ANGEL GODOY (E/BULRICH Y HUMBERTO 1.) 745,Rural,-33.663397689952724,-60.708473787182925
060830100,608101360,JARDÍN DE INFANTES Nº905 GRAL. SAN MARTIN,Estatal,8 ESQ. 9,Rural,-33.75610093650013,-60.439804260204355
060181200,608100319,JARDÍN DE INFANTES Nº906 MI SUEÑO,Estatal,MENENDEZ (E/ MITRE Y ELIZALDE),Rural,-34.02911236637605,-60.50226852461975
060278900,608100326,JARDÍN DE INFANTES Nº907 GUILLERMO JORGE LOPEZ,Estatal,BV. JOSÉ LEON OCAMPO 114,Rural,-33.764232334216224,-60.64825119743425
060806200,608100342,JARDÍN DE INFANTES Nº909 GABRIELA MISTRAL,Estatal,AV. CORDOBA (ESQ. CATAMARCA Y FORMOSA),Rural,-33.92571773292838,-60.380518758688346
060223000,608101302,JARDÍN DE INFANTES Nº910 CONSTANCIO C. VIGIL,Estatal,ALBERDI 268,Rural,-33.672962653426744,-60.40248707539585
